"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Apr 17 08:34:29 UTC 2024","Wed Apr 17 08:34:29 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"skipped","Wed Apr 17 05:56:05 UTC 2024","Wed Apr 17 05:56:05 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"skipped","Wed Apr 17 06:18:25 UTC 2024","Wed Apr 17 06:18:25 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"skipped","Wed Apr 17 05:56:05 UTC 2024","Wed Apr 17 05:56:05 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"broken","Wed Apr 17 06:18:25 UTC 2024","Wed Apr 17 06:18:25 UTC 2024","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Wed Apr 17 06:42:21 UTC 2024","Wed Apr 17 06:42:23 UTC 2024","2401","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"skipped","Wed Apr 17 06:18:25 UTC 2024","Wed Apr 17 06:18:25 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"failed","Wed Apr 17 06:43:03 UTC 2024","Wed Apr 17 06:45:35 UTC 2024","152239","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Wed Apr 17 06:42:53 UTC 2024","Wed Apr 17 06:43:03 UTC 2024","10147","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Wed Apr 17 06:00:32 UTC 2024","Wed Apr 17 06:00:37 UTC 2024","4862","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"skipped","Wed Apr 17 05:56:05 UTC 2024","Wed Apr 17 05:56:05 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Wed Apr 17 05:40:35 UTC 2024","Wed Apr 17 05:40:51 UTC 2024","15705","","9. Client Portal - Home","","","","1. Check links",""
"broken","Wed Apr 17 05:56:05 UTC 2024","Wed Apr 17 05:56:05 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Wed Apr 17 06:42:39 UTC 2024","Wed Apr 17 06:42:40 UTC 2024","1621","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Wed Apr 17 07:02:48 UTC 2024","Wed Apr 17 07:02:58 UTC 2024","9653","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Wed Apr 17 07:37:06 UTC 2024","Wed Apr 17 07:37:12 UTC 2024","5826","","21. Forgot password function","","","","1. Direct to forgot password page",""
"skipped","Wed Apr 17 08:34:29 UTC 2024","Wed Apr 17 08:34:29 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"skipped","Wed Apr 17 08:34:29 UTC 2024","Wed Apr 17 08:34:29 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Apr 17 06:42:23 UTC 2024","Wed Apr 17 06:42:28 UTC 2024","4840","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"failed","Wed Apr 17 06:28:26 UTC 2024","Wed Apr 17 06:31:31 UTC 2024","185030","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"skipped","Wed Apr 17 06:18:25 UTC 2024","Wed Apr 17 06:18:25 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Wed Apr 17 07:02:58 UTC 2024","Wed Apr 17 07:03:00 UTC 2024","2376","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Wed Apr 17 06:42:15 UTC 2024","Wed Apr 17 06:42:18 UTC 2024","3266","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Wed Apr 17 05:58:26 UTC 2024","Wed Apr 17 05:58:45 UTC 2024","19443","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"broken","Wed Apr 17 08:34:29 UTC 2024","Wed Apr 17 08:34:29 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Wed Apr 17 05:58:08 UTC 2024","Wed Apr 17 05:58:24 UTC 2024","16120","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Wed Apr 17 06:42:04 UTC 2024","Wed Apr 17 06:42:15 UTC 2024","10650","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Wed Apr 17 05:38:02 UTC 2024","Wed Apr 17 05:39:05 UTC 2024","62748","","8. Sign Up new user","","","","1. Create a new user",""
"skipped","Wed Apr 17 05:56:05 UTC 2024","Wed Apr 17 05:56:05 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Wed Apr 17 06:42:28 UTC 2024","Wed Apr 17 06:42:39 UTC 2024","10568","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Wed Apr 17 06:42:40 UTC 2024","Wed Apr 17 06:42:53 UTC 2024","12611","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"skipped","Wed Apr 17 06:18:25 UTC 2024","Wed Apr 17 06:18:25 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Wed Apr 17 05:58:24 UTC 2024","Wed Apr 17 05:58:25 UTC 2024","1522","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Wed Apr 17 07:37:12 UTC 2024","Wed Apr 17 07:37:33 UTC 2024","20933","","21. Forgot password function","","","","2. Reset password",""
"passed","Wed Apr 17 06:55:44 UTC 2024","Wed Apr 17 06:55:55 UTC 2024","11213","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Wed Apr 17 06:42:18 UTC 2024","Wed Apr 17 06:42:21 UTC 2024","2524","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Wed Apr 17 07:03:00 UTC 2024","Wed Apr 17 07:03:05 UTC 2024","4246","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"skipped","Wed Apr 17 08:34:29 UTC 2024","Wed Apr 17 08:34:29 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Apr 17 06:00:32 UTC 2024","Wed Apr 17 06:00:32 UTC 2024","728","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Wed Apr 17 06:00:37 UTC 2024","Wed Apr 17 06:00:39 UTC 2024","1341","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Wed Apr 17 05:58:25 UTC 2024","Wed Apr 17 05:58:26 UTC 2024","210","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Wed Apr 17 06:55:55 UTC 2024","Wed Apr 17 07:00:07 UTC 2024","252055","","18. Check Admin header","","","","2. Check Navbar",""
"skipped","Wed Apr 17 05:56:05 UTC 2024","Wed Apr 17 05:56:05 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Wed Apr 17 06:00:17 UTC 2024","Wed Apr 17 06:00:32 UTC 2024","14692","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"skipped","Wed Apr 17 08:34:29 UTC 2024","Wed Apr 17 08:34:29 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"skipped","Wed Apr 17 05:56:05 UTC 2024","Wed Apr 17 05:56:05 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"skipped","Wed Apr 17 05:56:05 UTC 2024","Wed Apr 17 05:56:05 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"skipped","Wed Apr 17 06:18:25 UTC 2024","Wed Apr 17 06:18:25 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Apr 17 07:02:30 UTC 2024","Wed Apr 17 07:02:48 UTC 2024","17863","","19. Look Up Investment Account","","","","1. Log in using manager login",""
